Date,tesla-Close,Label1,Label2
2021-06-15,599.3599853515625,657.3113,646.1054
2021-06-16,604.8699951171875,652.54944,648.63806
2021-06-17,616.5999755859375,644.1207,651.7287
2021-06-18,623.3099975585938,637.6828,655.3223
2021-06-19,620.8300170898438,633.6656,659.26263
2021-06-20,620.8300170898438,631.5708,663.3856
2021-06-21,620.8300170898438,630.7997,667.5092
2021-06-22,623.7100219726562,630.85535,671.46124
2021-06-23,656.5700073242188,631.3756,675.10443
2021-06-24,679.8200073242188,632.11316,678.3475
2021-06-25,671.8699951171875,632.91077,681.14246
2021-06-26,688.719970703125,633.67584,683.48206
2021-06-27,688.719970703125,634.3587,685.388
2021-06-28,688.719970703125,634.93866,686.89923
2021-06-29,680.760009765625,635.4134,688.06604
